age,isced11,unit,sex,geo\time	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	TARGET 
Y30-34,ED5-8,PC,F,AT	: 	: 	: 	10.0 	10.3 	10.4 	9.6 	15.5 	: u	: u	: u	: u	19.9 b	20.4 	20.4 b	20.1 	22.0 	23.9 	24.4 	24.3 	26.5 	27.8 	41.6 b	40.0 	42.0 	44.0 	: 
Y30-34,ED5-8,PC,F,BE	27.9 	30.4 	31.3 	31.7 	33.1 	34.7 	36.0 	35.8 d	37.1 	37.9 	39.0 	41.3 	44.1 	43.4 	46.2 	46.4 	48.6 b	47.7 	50.0 	48.1 	50.7 	49.3 	50.2 b	48.7 	50.7 	50.9 b	: 
Y30-34,ED5-8,PC,F,BG	: 	: 	: 	: 	: 	: 	: 	: 	23.1 	28.3 b	28.8 	29.5 	31.8 	31.5 	32.8 b	33.2 	34.5 	35.6 	35.9 b	34.2 	33.6 	37.6 	39.0 b	39.9 	41.0 	40.5 	: 
Y30-34,ED5-8,PC,F,CH	: 	: 	: 	: 	15.3 	17.0 	17.4 	15.8 	17.7 	17.6 	20.8 	23.2 	23.7 	25.4 	27.3 	29.7 	34.4 	38.1 	38.9 b	39.7 	39.3 	42.3 	46.0 b	50.0 	50.1 	51.6 	: 
Y30-34,ED5-8,PC,F,CY	: 	: 	: 	: 	: 	: 	: 	29.9 	31.5 	32.3 	36.1 	37.7 	38.7 	42.5 	46.8 	48.0 	52.9 	49.3 b	48.9 	52.0 	55.5 	53.4 	58.2 b	61.6 	62.1 	63.6 	: 
Y30-34,ED5-8,PC,F,CZ	: 	: 	: 	: 	: 	: 	11.0 	10.7 	13.0 	12.5 	11.4 	10.8 b	12.1 	13.0 	12.4 	13.7 	15.9 	18.7 	22.3 	26.1 b	29.1 	29.6 	32.5 b	35.9 	38.7 	41.0 	: 
Y30-34,ED5-8,PC,F,DE	20.9 	21.1 	20.5 	20.5 	20.0 b	20.5 	: 	20.9 	22.6 	21.9 	21.4 	22.5 	24.3 	24.1 b	24.4 	25.7 	27.0 	29.2 	29.4 b	31.3 	32.6 	33.7 	30.8 b	32.4 	33.0 	34.2 	: 
Y30-34,ED5-8,PC,F,DK	25.0 	29.4 	31.1 	29.3 	30.8 b	29.8 	29.2 	30.0 	33.6 	37.8 	39.4 	41.1 b	44.0 	47.3 	47.4 	41.6 b	41.8 	46.5 	45.9 	48.0 	52.6 	51.8 	50.5 b	55.9 	54.6 b	56.7 b	: 
Y30-34,ED5-8,PC,F,EA18	: 	: 	: 	: 	: 	: 	: 	: 	23.4 	24.2 	25.8 	27.6 	29.8 	31.2 	32.7 	33.9 	35.0 	35.9 	37.1 	37.8 	38.9 	39.9 	40.2 b	41.3 	41.8 	42.9 	: 
Y30-34,ED5-8,PC,F,EA19	: 	: 	: 	: 	: 	: 	: 	: 	23.7 	24.3 	25.8 	27.6 	29.9 	31.4 	32.8 	34.0 	35.1 	36.0 	37.3 	37.9 	39.1 	40.1 	40.4 b	41.6 	42.1 	43.1 	: 
Y30-34,ED5-8,PC,F,EE	: 	: 	: 	: 	: 	: 	43.1 	37.3 	38.9 b	35.7 	32.7 	33.8 	35.4 	36.8 	38.5 	42.9 	40.1 	43.2 	48.6 	50.4 	51.3 	53.7 	54.2 b	56.7 	52.4 	55.6 	: 
Y30-34,ED5-8,PC,F,EL	14.6 	17.0 	17.8 	20.0 	21.5 	23.6 	26.6 	27.1 	26.9 	26.4 b	24.9 	24.1 	26.7 b	27.5 	28.2 	27.2 	27.8 	29.0 b	31.1 	31.5 	34.2 	39.0 	41.6 b	45.5 	48.8 	50.5 	: 
Y30-34,ED5-8,PC,F,ES	18.1 	20.5 	21.8 	24.5 	26.4 	27.9 	30.2 d	30.7 d	30.4 	33.3 	37.2 	37.8 	40.6 	44.6 b	44.8 	46.3 	46.5 	46.5 	47.5 	46.7 	47.1 	47.5 	47.8 b	47.1 	46.6 	47.5 	: 
Y30-34,ED5-8,PC,F,EU27	: 	: 	: 	: 	: 	: 	: 	: 	22.7 	23.2 	24.6 	26.2 	28.7 	30.2 	31.7 	33.0 	34.4 	35.8 	37.4 	38.7 	40.3 	41.5 	42.3 b	43.4 	44.0 	45.0 	: 
Y30-34,ED5-8,PC,F,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.5 	26.1 	28.6 	30.1 	31.6 	32.9 	34.3 	35.7 	37.3 	38.6 	40.2 	41.4 	42.3 b	43.4 	43.9 	44.9 	: 
Y30-34,ED5-8,PC,F,FI	: 	: 	: 	28.5 	24.6 	28.2 	43.0 	45.4 	47.9 b	49.6 	49.3 	50.2 	52.1 	52.1 	55.3 	55.4 	56.6 	55.5 	54.0 	55.0 	55.4 	52.9 	52.6 b	53.4 	54.4 	52.0 	: 
Y30-34,ED5-8,PC,F,FR	: 	21.3 	23.2 	23.7 	23.2 	23.3 	26.6 	27.3 	29.0 	30.6 	34.0 	37.5 b	38.7 	40.5 	44.1 	45.0 	44.9 	47.1 	47.2 	47.2 	48.2 	48.4 b	47.9 b	49.6 	48.8 	49.6 	: 
Y30-34,ED5-8,PC,F,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.6 	20.1 	19.5 	21.3 	19.1 u	21.4 	21.8 	24.3 	27.6 b	28.5 	27.8 	29.7 	38.9 b	38.1 	36.7 	35.4 	: 
Y30-34,ED5-8,PC,F,HU	: 	: 	: 	: 	: 	16.1 	15.5 	18.3 	17.1 	16.0 b	16.1 	17.9 	21.5 	20.7 	23.6 	24.8 	26.6 	28.9 	30.8 	32.9 	35.1 	37.8 	40.3 b	41.0 	39.6 	37.5 	: 
Y30-34,ED5-8,PC,F,IE	19.9 	20.6 	21.8 	25.1 	28.3 	28.7 	: 	25.0 	29.2 	32.5 	33.0 	36.3 	41.5 	42.9 	46.8 	49.3 b	52.9 	55.2 	55.8 	56.2 	57.8 	58.5 	58.4 b	58.2 	58.1 	58.9 b	: 
Y30-34,ED5-8,PC,F,IS	: 	: 	: 	: 	: 	: 	: 	28.7 	34.2 	33.2 	33.5 	42.7 b	44.8 	49.2 	42.2 u	37.4 	41.3 	45.9 	47.5 	53.1 	51.2 	52.2 	52.6 b	55.0 	55.8 	65.7 	: 
Y30-34,ED5-8,PC,F,IT	8.2 	8.4 b	8.5 	8.7 	9.4 	9.7 	10.5 	11.4 	12.5 	12.9 	14.2 	15.7 	18.4 b	20.1 	21.1 	22.2 	23.5 	23.0 	24.2 	24.8 	26.5 	27.3 	29.1 b	30.8 	32.5 	34.1 	: 
Y30-34,ED5-8,PC,F,LT	: 	: 	: 	: 	: 	: 	56.0 	51.2 	47.9 	27.4 	29.6 b	30.7 	35.0 	41.2 	43.4 	42.7 	48.3 	48.0 	50.8 	52.9 	56.7 	60.8 	62.7 b	68.4 	68.8 	68.1 	: 
Y30-34,ED5-8,PC,F,LU	10.2 	17.8 	24.0 	16.4 	16.3 	21.8 	: 	20.4 b	17.7 	21.7 	21.5 	16.3 b	29.6 	38.5 	38.9 	38.1 b	42.7 	44.9 b	47.4 	47.4 	48.9 	55.6 	55.4 b	57.7 b	56.5 u	55.6 u	: 
Y30-34,ED5-8,PC,F,LV	: 	: 	: 	: 	: 	: 	20.1 	20.6 b	23.5 	19.3 u	21.9 b	23.3 	22.9 	24.8 	23.9 	32.0 	34.5 	40.0 	41.5 	46.7 	48.1 	53.1 	52.3 b	56.5 	56.1 	56.0 	: 
Y30-34,ED5-8,PC,F,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.1 	25.5 	31.3 	31.3 b	32.2 	35.9 	37.7 	: 
Y30-34,ED5-8,PC,F,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.8 	13.6 	13.1 	16.8 	18.0 	22.4 	22.6 	25.6 	28.7 b	34.5 	33.8 	36.8 	: 
Y30-34,ED5-8,PC,F,MT	: 	: 	: 	: 	: 	: 	: 	: 	: du	13.5 du	8.2 d	12.6 d	16.1 d	17.3 b	22.0 	22.5 	20.9 	23.6 	23.8 	24.2 b	27.8 	32.6 	33.4 b	34.4 	35.2 	35.0 	: 
Y30-34,ED5-8,PC,F,NL	: 	: 	: 	: 	23.4 	24.1 	19.9 	23.7 	25.6 	26.9 	29.3 	32.3 	34.0 	34.7 	36.6 	37.3 	41.8 	42.6 	44.4 b	44.8 b	44.5 	46.4 b	48.0 b	49.6 	49.7 	51.8 	: 
Y30-34,ED5-8,PC,F,NO	: 	: 	: 	: 	31.3 	33.1 	36.6 	38.8 	41.8 	46.6 	46.8 	43.9 	44.5 	44.4 	47.7 b	49.6 	54.8 	56.4 	55.2 	56.4 	55.9 	59.1 	62.0 b	60.9 	58.2 	55.9 	: 
Y30-34,ED5-8,PC,F,PL	: 	: 	: 	: 	: 	17.4 	13.6 	14.1 d	14.6 b	15.8 b	16.7 	19.6 b	23.2 	26.4 	29.0 	31.3 	35.0 	38.4 	40.4 b	43.2 	46.5 	48.4 	50.2 b	52.0 	53.9 	55.5 	: 
Y30-34,ED5-8,PC,F,PT	17.7 	16.6 	17.4 	15.1 	15.3 	17.1 	12.6 b	14.1 	13.4 b	15.0 	16.7 b	18.2 	20.2 b	21.3 	23.4 	24.3 	26.1 	24.9 	29.9 	31.3 b	31.0 	35.7 	38.9 b	40.1 	41.6 	40.4 	: 
Y30-34,ED5-8,PC,F,RO	: 	: 	: 	: 	: 	12.9 	8.8 	8.6 	8.9 	9.0 	9.0 b	8.3 b	10.7 	12.1 	13.1 	14.3 	17.1 	18.5 	19.2 b	20.6 	22.9 	24.2 	27.2 b	27.2 	27.4 	28.9 	: 
Y30-34,ED5-8,PC,F,SE	: 	: 	: 	30.9 	30.2 	31.9 	32.7 	34.8 	33.2 	30.0 b	31.2 	35.1 	39.3 	42.2 b	44.9 b	46.9 	47.7 	50.0 	51.1 	53.5 	53.7 	55.2 	57.9 b	57.7 	59.2 	58.4 	: 
Y30-34,ED5-8,PC,F,SI	: 	: 	: 	: 	21.3 	20.2 	19.6 	19.1 	24.0 	25.1 	29.1 	31.0 	32.5 	30.1 	36.0 	41.1 	38.4 	39.3 	44.0 	47.3 	49.6 	49.6 	53.6 b	56.4 	55.3 	58.8 	: 
Y30-34,ED5-8,PC,F,SK	: 	: 	: 	: 	: 	: 	9.8 	10.1 	10.1 	10.7 	11.2 	11.4 	13.2 	14.6 	15.3 	16.1 	17.6 	19.8 	26.2 	27.3 b	28.2 	31.8 	31.5 b	34.4 	39.4 	42.4 	: 
Y30-34,ED5-8,PC,F,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.5 	10.3 	11.2 	12.9 	13.6 	14.3 	16.2 	17.9 	19.6 b	22.1 	24.7 	26.0 	: 
Y30-34,ED5-8,PC,F,UK	20.4 	21.1 	21.4 	22.4 	23.3 	24.0 	: 	26.4 b	27.4 	28.4 	30.7 	30.8 	33.3 b	34.9 	36.9 	39.9 b	40.9 b	42.3 	45.1 b	48.3 b	50.0 	50.4 	51.1 b	51.1 	50.3 	50.8 	: 
Y30-34,ED5-8,PC,M,AT	: 	: 	: 	9.8 	10.2 	11.2 	9.8 	17.2 	: u	: u	: u	: u	22.0 b	20.9 	21.8 b	21.6 	21.8 	22.9 	22.3 	22.8 	25.6 	26.4 	38.3 b	37.5 	38.3 	37.7 	: 
Y30-34,ED5-8,PC,M,BE	25.2 	26.1 	25.4 	28.2 	28.8 	29.1 	28.6 	28.3 d	33.3 	32.6 	31.5 	34.2 	35.8 	34.9 	36.6 	36.6 	37.4 b	36.4 	39.0 	37.1 	37.1 	36.2 	37.4 b	36.7 	40.4 	40.8 b	: 
Y30-34,ED5-8,PC,M,BG	: 	: 	: 	: 	: 	: 	: 	: 	16.0 	18.8 b	17.7 	17.9 	18.7 	18.3 	17.8 b	18.7 	19.7 	20.4 	20.5 b	20.9 	20.5 	21.8 	23.4 b	24.8 	27.2 	25.5 	: 
Y30-34,ED5-8,PC,M,CH	: 	: 	: 	: 	35.7 	37.8 	36.3 	37.6 	37.5 	38.4 	39.3 	41.4 	42.4 	41.8 	42.8 	43.3 	48.0 	48.8 	44.9 b	44.0 	45.3 	47.4 	48.4 b	48.6 	52.3 	54.0 	: 
Y30-34,ED5-8,PC,M,CY	: 	: 	: 	: 	: 	: 	: 	33.2 	30.8 	33.1 	35.9 	42.5 	43.5 	38.9 	45.4 	44.4 	41.3 	40.2 b	41.3 	39.7 	43.6 	41.6 	46.0 b	46.7 	43.9 	47.3 	: 
Y30-34,ED5-8,PC,M,CZ	: 	: 	: 	: 	: 	: 	12.7 	14.2 	14.4 	14.0 	13.7 	14.3 b	13.2 	13.1 	13.7 	13.0 	14.8 	16.4 	18.6 	21.5 b	22.4 	24.0 	24.2 b	24.7 	27.2 	27.7 	: 
Y30-34,ED5-8,PC,M,DE	27.2 	27.5 	26.4 	27.7 	27.3 b	28.4 	: 	28.0 	28.8 	29.0 	26.8 	27.5 	29.1 	28.0 b	27.2 	27.3 	28.3 	29.6 	29.9 b	29.9 	31.0 	32.2 	32.0 b	32.2 	33.4 	33.8 	: 
Y30-34,ED5-8,PC,M,DK	21.3 	23.3 	30.3 	30.0 	28.7 b	27.8 	27.4 	32.1 	30.5 	28.0 	28.7 	35.3 b	38.7 	39.0 	38.7 	34.8 b	36.8 	35.0 	36.7 	34.7 	33.7 	35.2 	39.4 b	39.6 	41.0 b	41.1 b	: 
Y30-34,ED5-8,PC,M,EA18	: 	: 	: 	: 	: 	: 	: 	: 	23.1 	23.9 	23.9 	25.2 	26.4 	27.3 	27.2 	28.2 	28.7 	29.2 	30.1 	30.4 	31.0 	32.0 	32.5 b	32.8 	32.9 	33.5 	: 
Y30-34,ED5-8,PC,M,EA19	: 	: 	: 	: 	: 	: 	: 	: 	23.2 	23.8 	23.9 	25.2 	26.4 	27.3 	27.3 	28.3 	28.7 	29.3 	30.2 	30.5 	31.1 	32.1 	32.6 b	32.9 	33.0 	33.6 	: 
Y30-34,ED5-8,PC,M,EE	: 	: 	: 	: 	: 	: 	21.2 	21.5 	21.2 b	21.1 	22.7 	22.2 	21.3 	26.5 	26.7 	24.4 	29.0 	29.6 	32.2 	30.6 	28.3 	31.8 	32.8 b	34.5 	38.8 	41.6 	: 
Y30-34,ED5-8,PC,M,EL	21.0 	20.3 	21.2 	21.5 	22.8 	22.5 	25.0 	23.6 	23.9 	23.6 b	22.2 	21.9 	23.6 b	23.6 	25.5 	25.4 	23.7 	24.3 b	26.2 	26.8 	28.1 	30.8 	32.9 b	35.3 	36.2 	37.0 	: 
Y30-34,ED5-8,PC,M,ES	19.1 	19.6 	20.8 	22.1 	23.5 	24.2 	26.4 d	28.0 d	27.9 	29.4 	31.7 	32.6 	33.4 	35.4 b	34.4 	35.8 	36.5 	35.3 	36.7 	37.2 	36.0 	37.1 	36.8 b	34.8 	33.5 	34.8 	: 
Y30-34,ED5-8,PC,M,EU27	: 	: 	: 	: 	: 	: 	: 	: 	22.2 	22.4 	22.7 	24.0 	25.4 	26.2 	26.4 	27.4 	28.1 	29.1 	30.3 	31.1 	31.9 	33.0 	33.6 b	34.1 	34.5 	35.0 	: 
Y30-34,ED5-8,PC,M,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.6 	24.0 	25.3 	26.1 	26.3 	27.2 	28.0 	29.0 	30.3 	31.0 	31.8 	32.9 	33.6 b	34.0 	34.4 	34.9 	: 
Y30-34,ED5-8,PC,M,FI	: 	: 	: 	21.1 	22.8 	24.2 	29.9 	32.8 	32.9 b	33.6 	33.4 	33.7 	35.0 	35.4 	37.1 	39.3 	35.0 	36.6 	37.7 	37.1 	36.7 	37.6 	38.2 b	38.1 	38.4 	37.3 	: 
Y30-34,ED5-8,PC,M,FR	: 	20.3 	20.7 	20.7 	18.9 	20.2 	23.2 	25.0 	25.8 	28.3 	29.0 	32.0 b	32.6 	34.9 	35.2 	37.7 	37.1 	38.8 	39.0 	38.9 	38.2 	39.4 b	39.2 b	40.3 	38.1 	38.7 	: 
Y30-34,ED5-8,PC,M,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.8 u	13.8 u	14.1 u	13.7 u	14.2 u	12.3 	15.3 	18.3 	21.6 b	19.5 	18.6 	21.7 	25.6 b	23.7 	22.2 	22.1 	: 
