currency,bop_item,sector10,sectpart,stk_flow,partner,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	206400.0 	213859.0 	227147.0 	234497.0 	249342.0 	261310.0 	285519.0 	289395.0 	298206.0 	306163.0 	301674.0 	314588.0 	328743.0 	319729.0 	323961.0 	331889.0 	344481.0 	358507.0 	362921.0 	362082.0 	390202.0 	400483.0 	414823.0 	416953.0 	509787.0 	549861.0 	565288.0 	577934.0 	628984.0 	636227.0 	644984.0 	678336.0 	716214.0 	760884.0 	762519.0 	771881.0 	788776.0 	815047.0 	814537.0 	783802.0 	782610.0 	784842.0 	801186.0 	796706.0 	836184.0 	860067.0 	851855.0 	807162.0 	836001.0 	838009.0 	835211.0 	840803.0 	857918.0 	859859.0 	866596.0 	862966.0 	876189.0 	866375.0 	865050.0 	860009.0 	864431.0 	881877.0 	882797.0 	889025.0 	935469.0 	908165.0 	890665.0 	874052.0 	861081.0 	864772.0 	863257.0 	844429.0 	868390.0 	861872.0 	856818.0 	858654.0 	870852.0 	874895.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1218409.1 	1259397.9 	1295900.5 	1342263.5 	1382114.9 	1347873.5 	1380767.9 	1462020.6 	1550457.4 	1635307.8 	1613910.6 	1689026.7 	1855695.0 	1892532.0 	1970591.0 	1851871.0 	1803403.0 	1786707.0 	1783559.0 	1830714.0 	1839172.0 	1918192.0 	1866990.0 	1910082.0 	1879943.0 	1888207.0 	1971855.0 	1994809.0 	2006133.0 	2030110.0 	2039485.0 	1961867.0 	1980262.0 	1933512.0 	1953616.0 	1833228.0 	1950015.0 	1975871.0 	2004433.0 	2040138.0 	2226475.0 	2129547.0 	2104455.0 	2117229.0 	2186349.0 	2214284.0 	2194150.0 	2233585.0 	2249245.0 	2198748.0 	2182078.0 	2141593.0 	2110535.0 	2119108.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18949.6 	19499.6 	20073.5 	19136.6 	20564.2 	19895.1 	18246.7 	19329.1 	19226.6 	18160.3 	17933.7 	18643.5 	18792.7 	19721.5 	21662.4 	21870.0 	24667.5 	24081.1 	25777.6 	26079.1 	26527.2 	27443.5 	29317.5 	32242.5 	34805.3 	34401.9 	35600.2 	39736.3 	40152.4 	39396.5 	43523.2 	46176.4 	42840.6 	41884.6 	42277.7 	44145.8 	45755.4 	45291.3 	45562.1 	46989.7 	49127.0 	48626.7 	49977.5 	53020.0 	52391.3 	54176.5 	55157.5 	58150.8 	59248.9 	59559.3 	59233.4 	60797.5 	60631.4 	62630.1 	63206.3 	67883.5 	70684.0 	75707.6 	73723.5 	75150.9 	76013.4 	79973.2 	83657.9 	86496.2 	90676.1 	91808.9 	91861.1 	94893.7 	94223.7 	95328.0 	95933.8 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	201968.0 	202321.0 	211057.0 	221719.0 	233871.0 	238904.0 	238005.0 	234137.0 	254167.0 	275587.0 	249094.0 	247845.0 	242971.0 	236822.0 	239155.0 	227343.0 	258288.0 	259737.0 	260232.0 	252691.0 	238165.0 	230364.0 	226090.0 	224533.0 	219549.0 	217206.0 	220679.0 	218501.0 	250172.0 	247946.0 	247962.0 	252179.0 	249968.0 	253190.0 	258236.0 	265910.0 	269357.0 	267748.0 	259857.0 	260987.0 	261027.0 	258834.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,CZ	: 	: 	: 	782004.0 	: 	: 	: 	837143.0 	: 	: 	: 	1031411.0 	: 	: 	: 	1087507.0 	: 	: 	: 	1347955.0 	1371020.0 	1398288.0 	1463442.0 	1448401.0 	1494983.0 	1542606.0 	1521157.0 	1544963.0 	1408277.0 	1473200.0 	1525992.0 	1579923.0 	1577621.0 	1554663.0 	1560186.0 	1537285.0 	1709827.0 	1740728.0 	1740681.0 	1702285.0 	1790935.0 	2027818.0 	2040063.0 	2066986.0 	2053831.0 	2062552.0 	2067565.0 	2127082.0 	2157368.0 	2292397.0 	2229843.0 	2349651.0 	2399119.0 	2493977.0 	2552750.0 	2625240.0 	2636144.0 	2528535.0 	2501308.0 	2644240.0 	2663709.0 	2833734.0 	2800717.0 	2837076.0 	2759620.0 	2757862.0 	2836941.0 	2975318.0 	3030235.0 	3101086.0 	3090500.0 	3189343.0 	3321621.0 	3340400.0 	3395120.0 	3736851.0 	3908538.0 	3987139.0 	4084909.0 	4155440.0 	4444034.0 	4439689.0 	4574897.0 	4570358.0 	4800676.0 	4968608.0 	5103358.0 	5324825.0 	6497066.0 	6406194.0 	6432718.0 	6342633.0 	6329757.0 	6507748.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2506687.0 	: 	: 	: 	2925611.0 	: 	: 	: 	3227559.0 	: 	: 	: 	3191363.0 	: 	: 	: 	3367103.0 	3495613.0 	3498969.0 	3590105.0 	3641455.0 	3851907.0 	4053564.0 	4168414.0 	4251510.0 	4440727.0 	4474300.0 	4609940.0 	4742380.0 	4926487.0 	5106039.0 	5193556.0 	5214550.0 	5259997.0 	5277137.0 	5380043.0 	5099016.0 	5055510.0 	5165809.0 	5194569.0 	5243721.0 	5422066.0 	5652289.0 	5661349.0 	6540517.0 	6366449.0 	6398731.0 	6914889.0 	6849408.0 	7089271.0 	7345683.0 	7405798.0 	7301407.0 	7263574.0 	7076900.0 	7024162.0 	6947828.0 	7052328.0 	7276739.0 	7528058.0 	7662494.0 	8309766.0 	7922307.0 	7936761.0 	7893649.0 	8071392.0 	8324309.0 	8310768.0 	8262642.0 	8449601.0 	8360048.0 	8345823.0 	8356483.0 	8399379.0 	8587705.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2752470.0 	2939139.0 	3062908.0 	3141326.0 	3189394.0 	3140468.0 	3333452.0 	3382999.0 	3502519.0 	3605993.0 	3698284.0 	3754874.0 	3706256.0 	3834819.0 	3827115.0 	3753477.0 	3863042.0 	3923060.0 	4023160.0 	4016122.0 	4426092.0 	4557836.0 	4682270.0 	4616540.0 	4582027.0 	4543027.0 	4661435.0 	4770564.0 	4956758.0 	5108797.0 	5183954.0 	5132344.0 	5327413.0 	5153406.0 	5200904.0 	5327493.0 	5743590.0 	5869527.0 	6175359.0 	6334943.0 	7113292.0 	6575455.0 	6426160.0 	6408907.0 	6700982.0 	6839108.0 	6926929.0 	6995726.0 	7262914.0 	7066196.0 	7106619.0 	7231230.0 	7108128.0 	7219204.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,EE	: 	: 	: 	: 	953.4 	1009.9 	1043.1 	1110.0 	1335.9 	1469.7 	1681.0 	1929.7 	2015.9 	2070.5 	2007.2 	2048.4 	2342.2 	2381.2 	2402.6 	2499.9 	2568.2 	2783.4 	2908.9 	2960.4 	3239.1 	3541.1 	3552.5 	3612.9 	3959.6 	4051.4 	4047.8 	4188.5 	4622.3 	4623.9 	4893.8 	5251.1 	5596.9 	6060.5 	6358.7 	6943.0 	8286.2 	8297.9 	8991.4 	9781.5 	10801.8 	11162.1 	11689.8 	12796.9 	13867.5 	15327.7 	16371.5 	17216.8 	17487.0 	17572.0 	17589.0 	17171.0 	16563.0 	16123.0 	16227.0 	16722.0 	16752.0 	17070.0 	17274.0 	17780.0 	19720.0 	20557.0 	20218.0 	20157.0 	20917.9 	21680.5 	22499.4 	23305.9 	23043.9 	23616.2 	23647.2 	24463.6 	25600.7 	26321.7 	26902.5 	27553.2 	28232.7 	27907.2 	27508.3 	28395.0 	27924.9 	28759.4 	29132.2 	29542.0 	30270.8 	30624.3 	31444.4 	31872.5 	31367.7 	32394.7 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93659.0 	99698.0 	107373.0 	107244.0 	106922.0 	123120.0 	130779.0 	131740.0 	136997.0 	144127.0 	141438.0 	151694.0 	157562.0 	175122.0 	180643.0 	187672.0 	199927.0 	203095.0 	215605.0 	220515.0 	236768.0 	234738.0 	251433.0 	260551.0 	264409.0 	270109.0 	263211.0 	246935.0 	236819.0 	229582.0 	237326.0 	237790.0 	236392.0 	231481.0 	259625.0 	249580.0 	262260.0 	237032.0 	238663.0 	234783.0 	226785.0 	227407.0 	226328.0 	226379.0 	226749.0 	233767.0 	242016.0 	241459.0 	242458.0 	242960.0 	235983.0 	234713.0 	229276.0 	227956.0 	221161.0 	210463.0 	196329.0 	191984.0 	186998.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,ES	177943.0 	178582.0 	187217.0 	196946.0 	200976.0 	203778.0 	211567.0 	225588.0 	233642.0 	243796.0 	259246.0 	271228.0 	294489.0 	300111.0 	311103.0 	313568.0 	354902.0 	390593.0 	397355.0 	438501.0 	463900.0 	480349.0 	538351.0 	570107.0 	590897.0 	611987.0 	594459.0 	620025.0 	651017.0 	650666.0 	651764.0 	666739.0 	686517.0 	696636.0 	728408.0 	757432.0 	789251.0 	822681.0 	822797.0 	860605.0 	900661.0 	957197.0 	988490.0 	1057140.0 	1154995.0 	1153948.0 	1182081.0 	1252319.0 	1302859.0 	1367023.0 	1350539.0 	1352749.0 	1335787.0 	1364646.0 	1376786.0 	1361086.0 	1321522.0 	1322428.0 	1337288.0 	1353922.0 	1377305.0 	1395543.0 	1363044.0 	1345213.0 	1320738.0 	1322561.0 	1358924.0 	1379611.0 	1399194.0 	1435829.0 	1395109.0 	1472702.0 	1481669.0 	1430370.0 	1403204.0 	1379622.0 	1418985.0 	1471534.0 	1526023.0 	1513024.0 	1664862.0 	1643784.0 	1646657.0 	1659454.0 	1668322.0 	1731428.0 	1749239.0 	1761712.0 	1823357.0 	1814973.0 	1830383.0 	1856965.0 	1877622.0 	1915005.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71587.6 	78955.1 	84596.3 	99080.6 	126753.3 	128681.7 	144978.4 	152696.8 	161010.0 	161728.8 	161460.5 	174286.8 	185859.2 	182380.1 	185550.7 	180570.3 	155232.6 	157424.1 	163044.3 	163848.8 	248903.7 	262544.9 	275730.1 	287415.0 	291747.8 	312771.4 	317504.6 	328509.4 	341820.6 	349277.7 	352022.0 	370361.9 	382268.3 	394637.1 	400626.7 	411434.9 	417326.2 	433625.8 	433859.2 	455430.5 	470186.8 	460507.7 	471183.0 	499460.7 	526896.0 	596242.3 	598606.8 	610875.5 	609702.6 	605419.1 	700241.5 	732044.7 	748092.3 	769575.2 	777478.1 	726328.5 	689526.0 	650676.5 	642897.0 	648899.3 	659458.5 	681035.5 	711091.4 	713411.3 	802723.0 	761228.0 	747553.0 	709745.0 	759725.0 	747457.0 	749972.0 	: c	645911.0 	621293.0 	635958.0 	622756.0 	626899.0 	631655.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1715031.0 	1881412.0 	1934025.0 	2047665.0 	2122797.0 	2148775.0 	2278832.0 	2363903.0 	2452996.0 	2590118.0 	2590243.0 	2729575.0 	2733626.0 	2686659.0 	2644276.0 	2675350.0 	2697810.0 	2746154.0 	2754830.0 	2828367.0 	2999869.0 	3092588.0 	3122638.0 	3253016.0 	3404638.0 	3594921.0 	3698987.0 	3990659.0 	4201316.0 	4232390.0 	4412756.0 	4595409.0 	4863392.0 	4914196.0 	4938199.0 	5058123.0 	5278844.0 	5043545.0 	5174294.0 	5357662.0 	5434670.0 	5399903.0 	5600695.0 	5522461.0 	5877688.0 	6102135.0 	6255955.0 	5833416.0 	5721326.0 	5810869.0 	6172502.0 	6053057.0 	6023362.0 	6148141.0 	6174124.0 	6116445.0 	6160750.0 	5993318.0 	5961486.0 	5857715.0 	5997454.0 	6176579.0 	6389404.0 	6534758.0 	7179714.0 	6736141.0 	6665312.0 	6512187.0 	6676379.0 	6883181.0 	6885933.0 	6718321.0 	6845442.0 	6749115.0 	6738245.0 	6611860.0 	6749345.0 	6966605.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67083.0 	70694.0 	69216.0 	78204.0 	92617.0 	88473.0 	83814.0 	87427.0 	91582.0 	96458.0 	95680.0 	105119.0 	108691.0 	104635.0 	108025.0 	112870.0 	115708.0 	107575.0 	110266.0 	114640.0 	118368.0 	114766.0 	116713.0 	120540.0 	132449.0 	141738.0 	149094.0 	149714.0 	157459.0 	150452.0 	150252.0 	151512.0 	163708.0 	149205.0 	153265.0 	166663.0 	178740.0 	173634.0 	176771.0 	188335.0 	175847.0 	175483.0 	174685.0 	180604.0 	177509.0 	168910.0 	175863.0 	182793.0 	177842.0 	176584.0 	179182.0 	186020.0 	188078.0 	182604.0 	193719.0 	215837.0 	214358.0 	231329.0 	230480.0 	239011.0 	234362.0 	221198.0 	221269.0 	233519.0 	231907.0 	240478.0 	219419.0 	242183.0 	243146.0 	238934.0 	244513.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,HU	1366281.6 	1546712.0 	1758044.9 	2337783.3 	2300066.9 	2290579.9 	2484990.1 	2529427.8 	2405699.5 	2557949.9 	2811425.7 	3043975.8 	3413088.4 	3544003.3 	3616883.4 	3777773.0 	3995450.8 	4317253.3 	4543415.4 	5107335.0 	5494413.7 	5365600.1 	5882385.0 	5712328.3 	6130346.0 	6294209.5 	6425476.3 	6513217.9 	6255076.9 	5939624.2 	6138528.3 	6040709.4 	6706311.4 	6878324.4 	7140460.0 	7863953.3 	8448784.9 	8808712.7 	9102130.5 	9663891.7 	10144618.0 	11049740.1 	11449081.7 	12482202.0 	32094985.3 	35035337.1 	35323087.1 	34695506.9 	35916381.6 	41094440.3 	42239256.8 	48231735.8 	47048272.0 	44250822.0 	53833463.0 	61330828.0 	77023918.0 	62671409.0 	62394157.0 	62604448.0 	65981022.0 	73932417.0 	66193935.0 	63817468.0 	61246016.0 	58967954.0 	64954729.0 	73566331.0 	68331699.3 	69440439.1 	67131755.3 	70892526.1 	76339504.8 	72330362.3 	70239616.6 	69197398.3 	71920934.5 	71299785.0 	73992616.7 	75770732.2 	79739668.3 	81097140.4 	79106653.4 	82827353.9 	79562589.2 	82296999.6 	79174609.0 	100610603.4 	100685386.1 	96554080.0 	96466476.3 	89079037.0 	88949484.0 	97674146.5 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	964229.0 	922555.0 	902409.6 	992735.7 	991625.3 	1047401.0 	1083028.9 	1168261.0 	1269257.2 	1315032.9 	1338684.0 	1406208.1 	1478111.8 	1639306.4 	1732830.1 	1858699.0 	1908740.3 	1951517.5 	2075694.0 	2197991.3 	2318855.1 	2446712.8 	2471902.6 	2485502.8 	2480251.0 	2543022.0 	2512723.0 	2509232.0 	2522580.0 	2593442.0 	2596290.0 	2669125.0 	2788744.0 	2924431.0 	2901277.0 	2896524.0 	2849580.0 	2830725.0 	2877681.0 	2955034.0 	2991450.0 	3066636.0 	3112329.0 	3118883.0 	3261415.0 	3218156.0 	3188579.0 	3290132.0 	3458601.0 	3592529.0 	3847246.0 	4110358.0 	4725558.0 	4658750.0 	4517575.0 	4859517.0 	4829264.0 	4839010.0 	4916535.0 	5095342.0 	5284729.0 	5207091.0 	5164708.0 	5164099.0 	5231691.0 	5465338.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	946150.0 	967693.0 	1018164.0 	1079333.0 	1113431.0 	1151566.0 	1183104.0 	1231091.0 	1251161.0 	1284263.0 	1260502.0 	1244417.0 	1230590.0 	1190694.0 	1195513.0 	1191818.0 	1215424.0 	1254039.0 	1267054.0 	1278846.0 	1319713.0 	1330825.0 	1347538.0 	1394527.0 	1470952.0 	1552114.0 	1594339.0 	1666769.0 	1753429.0 	1787066.0 	1796738.0 	1849229.0 	1871967.0 	1931209.0 	1918230.0 	1953630.0 	1920071.0 	1950558.0 	1915490.0 	1822222.0 	1901268.0 	1921701.0 	1973672.0 	1935654.0 	1993563.0 	2004664.0 	2020917.0 	1995379.0 	1984408.0 	1989638.0 	2032991.0 	2057454.0 	2098825.0 	2136903.0 	2164479.0 	2135603.0 	2134077.0 	2090815.0 	2119565.0 	2103734.0 	2130017.0 	2192890.0 	2257088.0 	2314767.0 	2501371.0 	2479813.0 	2435692.0 	2423827.0 	2464694.0 	2522703.0 	2553562.0 	2552175.0 	2634461.0 	2635178.0 	2667235.0 	2696927.0 	2714021.0 	2750824.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5126.6 	5105.6 	5373.2 	5593.6 	6154.4 	6630.9 	7235.8 	7998.2 	8294.6 	8768.1 	9024.0 	10780.8 	10912.9 	11475.7 	12573.3 	14106.6 	13659.9 	13713.0 	13812.4 	13802.6 	13806.9 	14171.2 	14701.9 	15366.1 	15936.1 	15994.4 	16493.1 	16914.2 	17086.5 	17563.8 	17830.3 	17850.7 	18364.3 	17300.5 	18046.9 	17952.5 	18229.6 	17742.0 	18080.4 	18373.2 	19076.6 	19058.5 	19290.6 	20178.6 	23196.6 	22722.6 	23326.4 	24012.9 	24865.3 	25882.4 	27429.6 	29510.8 	29959.7 	30574.3 	31893.7 	34309.7 	34492.3 	35150.2 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1947550.0 	1948150.0 	1949744.0 	1948553.0 	2225334.0 	2345211.0 	2375110.0 	2408843.0 	2512745.0 	2632939.0 	2824112.0 	3003358.0 	3205346.0 	3419882.0 	3420583.0 	3579468.0 	3733788.0 	3874295.0 	4048676.0 	4124351.0 	4219650.0 	4074157.0 	4104500.0 	4124244.0 	3894906.0 	3824291.0 	3915406.0 	4053199.0 	4226662.0 	4415332.0 	4590080.0 	4610681.0 	4785774.0 	4796637.0 	4849913.0 	4850215.0 	5365117.0 	5658179.0 	5912381.0 	6074080.0 	6488266.0 	6781292.0 	6903114.0 	6909863.0 	7112493.0 	7322853.0 	7486586.0 	7792728.0 	8906589.0 	10084966.0 	9980501.0 	10076860.0 	10436894.0 	10252658.0 	10504548.0 	10626770.0 	10873274.0 	11075261.0 	11003788.0 	10723275.0 	10716994.0 	10553633.0 	10824676.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3003.0 	3154.0 	3292.0 	3395.0 	3266.0 	3626.0 	3554.0 	3903.0 	4072.0 	4089.0 	4195.0 	4434.0 	4408.0 	4742.0 	5136.0 	5281.0 	5609.0 	5951.0 	6798.0 	7025.0 	7373.0 	7746.0 	8221.0 	8655.0 	9122.0 	10226.0 	11165.0 	11776.0 	13377.0 	14477.0 	15976.0 	17450.0 	17108.0 	18235.0 	18565.0 	18006.0 	17401.0 	17167.0 	19084.0 	19594.0 	20177.0 	20491.0 	20526.0 	21839.0 	20845.0 	21192.0 	21709.0 	21927.0 	22886.0 	23393.0 	23393.0 	23710.0 	24208.0 	24800.0 	24545.0 	24594.0 	24741.0 	27294.0 	28895.0 	28862.0 	31350.0 	31034.0 	31733.0 	31171.0 	32772.0 	34256.0 	33540.0 	33964.0 	34584.0 	34771.0 	35093.0 	35804.0 	33890.0 	33870.0 
MIO_NAC,FA,S1,S1,A_LE,WRL_REST,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25675.8 	28535.7 	31392.3 	34828.5 	40833.7 	47872.1 	56971.0 	63453.2 	69866.2 	77759.2 	83197.3 	88263.7 	99204.6 	111170.0 	120901.1 	130421.7 	134287.2 	141333.9 	149104.9 	148846.3 	150335.5 	150679.2 	152044.5 	154179.4 	165023.7 	169537.9 	170615.3 	173590.0 	176089.6 	185045.9 	189209.3 	192509.4 	195344.9 	201438.8 	203719.5 	204428.6 	206122.6 	207843.6 	211277.2 	208507.8 	211506.1 	214256.3 	217682.6 	222512.7 	227860.5 	223603.7 	220767.7 	223798.9 	221850.1 	224640.9 	223942.1 	226644.3 	230670.9 	232557.0 	236471.5 	239034.9 	238754.1 	241476.6 
